num,cell,port,function,safe,ccell,disval,rslt,acio,toggle,differential,pinmap,channel
534,bc_1,*,control,1,,,,,,,,
535,bc_8,GPP_H_9_SML2CLK,bidir,X,534,1,Z,FALSE,TRUE,,gpp_h_9_sml2clk,TRUE
536,bc_1,*,control,1,,,,,,,,
537,bc_8,GPP_H_8_USB2_OCB_3_GMII_MDIO_1,bidir,X,536,1,Z,FALSE,TRUE,,gpp_h_8_usb2_ocb_3_gmii_mdio_1,TRUE
538,bc_1,*,control,1,,,,,,,,
539,bc_8,GPP_H_7_USB2_OCB_2_GMII_MDC_1,bidir,X,538,1,Z,FALSE,TRUE,,gpp_h_7_usb2_ocb_2_gmii_mdc_1,TRUE
540,bc_1,*,control,1,,,,,,,,
541,bc_8,GPP_H_6_USB2_OCB_1,bidir,X,540,1,Z,FALSE,TRUE,,gpp_h_6_usb2_ocb_1,TRUE
542,bc_1,*,control,1,,,,,,,,
543,bc_8,GPP_H_5_USB2_OCB_0,bidir,X,542,1,Z,FALSE,TRUE,,gpp_h_5_usb2_ocb_0,TRUE
544,bc_1,*,control,1,,,,,,,,
545,bc_8,GPP_H_4_SRCCLKREQB_11,bidir,X,544,1,Z,FALSE,TRUE,,gpp_h_4_srcclkreqb_11,TRUE
546,bc_1,*,control,1,,,,,,,,
547,bc_8,GPP_H_3_SRCCLKREQB_10,bidir,X,546,1,Z,FALSE,TRUE,,gpp_h_3_srcclkreqb_10,TRUE
548,bc_1,*,control,1,,,,,,,,
549,bc_8,GPP_H_2_SRCCLKREQB_9,bidir,X,548,1,Z,FALSE,TRUE,,gpp_h_2_srcclkreqb_9,TRUE
550,bc_1,*,control,1,,,,,,,,
551,bc_8,GPP_H_1_SRCCLKREQB_8,bidir,X,550,1,Z,FALSE,TRUE,,gpp_h_1_srcclkreqb_8,TRUE
552,bc_1,*,control,1,,,,,,,,
553,bc_8,GPP_H_0,bidir,X,552,1,Z,FALSE,TRUE,,gpp_h_0,TRUE
554,bc_1,*,control,1,,,,,,,,
555,bc_8,SPI0_CLK,bidir,X,554,1,Z,FALSE,TRUE,,spi0_clk,TRUE
556,bc_1,*,control,1,,,,,,,,
557,bc_8,SPI0_FLASH_1_CSB,bidir,X,556,1,Z,FALSE,TRUE,,spi0_flash_1_csb,TRUE
558,bc_1,*,control,1,,,,,,,,
559,bc_8,SPI0_FLASH_0_CSB,bidir,X,558,1,Z,FALSE,TRUE,,spi0_flash_0_csb,TRUE
560,bc_1,*,control,1,,,,,,,,
561,bc_8,SPI0_TPM_CSB,bidir,X,560,1,Z,FALSE,TRUE,,spi0_tpm_csb,TRUE
562,bc_1,*,control,1,,,,,,,,
563,bc_8,SPI0_MISO_IO_1,bidir,X,562,1,Z,FALSE,TRUE,,spi0_miso_io_1,TRUE
564,bc_1,*,control,1,,,,,,,,
565,bc_8,SPI0_MOSI_IO_0,bidir,X,564,1,Z,FALSE,TRUE,,spi0_mosi_io_0,TRUE
566,bc_1,*,control,1,,,,,,,,
567,bc_8,SPI0_IO_3,bidir,X,566,1,Z,FALSE,TRUE,,spi0_io_3,TRUE
568,bc_1,*,control,1,,,,,,,,
569,bc_8,SPI0_IO_2,bidir,X,568,1,Z,FALSE,TRUE,,spi0_io_2,TRUE
570,bc_1,*,internal,1,,,,,,,,
571,bc_1,*,internal,1,,,,,,,,
572,bc_1,*,internal,1,,,,,,,,
573,bc_1,*,internal,1,,,,,,,,
574,bc_1,*,internal,1,,,,,,,,
575,bc_1,*,internal,1,,,,,,,,
576,bc_1,*,internal,1,,,,,,,,
577,bc_1,*,internal,1,,,,,,,,
578,bc_1,*,internal,1,,,,,,,,
579,bc_1,*,internal,1,,,,,,,,
580,bc_1,*,internal,1,,,,,,,,
581,bc_1,*,internal,0,,,,,,,,
582,bc_4,*,segment select,1,,,,,,,,
583,bc_4,*,delay,0,,,,,,,,
584,bc_1,*,control,1,,,,,,,,
585,bc_8,DIR_ESPI_ALERTB,bidir,X,584,1,Z,FALSE,TRUE,,dir_espi_alertb,TRUE
586,bc_1,*,control,1,,,,,,,,
587,bc_8,DIR_ESPI_RCLK,bidir,X,586,1,Z,FALSE,TRUE,,dir_espi_rclk,TRUE
588,bc_1,*,control,1,,,,,,,,
589,bc_8,DIR_ESPI_CLK,bidir,X,588,1,Z,FALSE,TRUE,,dir_espi_clk,TRUE
590,bc_1,*,control,1,,,,,,,,
591,bc_8,DIR_ESPI_RESETB,bidir,X,590,1,Z,FALSE,TRUE,,dir_espi_resetb,TRUE
592,bc_1,*,control,1,,,,,,,,
593,bc_8,DIR_ESPI_CSB,bidir,X,592,1,Z,FALSE,TRUE,,dir_espi_csb,TRUE
594,bc_1,*,control,1,,,,,,,,
595,bc_8,DIR_ESPI_IO_3,bidir,X,594,1,Z,FALSE,TRUE,,dir_espi_io_3,TRUE
596,bc_1,*,control,1,,,,,,,,
597,bc_8,DIR_ESPI_IO_2,bidir,X,596,1,Z,FALSE,TRUE,,dir_espi_io_2,TRUE
598,bc_1,*,control,1,,,,,,,,
599,bc_8,DIR_ESPI_IO_1,bidir,X,598,1,Z,FALSE,TRUE,,dir_espi_io_1,TRUE
600,bc_1,*,control,1,,,,,,,,
601,bc_8,DIR_ESPI_IO_0,bidir,X,600,1,Z,FALSE,TRUE,,dir_espi_io_0,TRUE
602,bc_1,*,control,1,,,,,,,,
603,bc_8,DMI_CLKREQB,bidir,X,602,1,Z,FALSE,TRUE,,dmi_clkreqb,TRUE
604,bc_1,*,control,1,,,,,,,,
605,bc_8,DMI_PERSTB,bidir,X,604,1,Z,FALSE,TRUE,,dmi_perstb,TRUE
606,bc_1,*,control,1,,,,,,,,
607,bc_8,PWRBTNB_OUT,bidir,X,606,1,Z,FALSE,TRUE,,pwrbtnb_out,TRUE
608,bc_1,*,control,1,,,,,,,,
609,bc_8,GPP_A_13_ESPI_ALERT3B,bidir,X,608,1,Z,FALSE,TRUE,,gpp_a_13_espi_alert3b,TRUE
610,bc_1,*,control,1,,,,,,,,
611,bc_8,GPP_A_12_ESPI_ALERT2B,bidir,X,610,1,Z,FALSE,TRUE,,gpp_a_12_espi_alert2b,TRUE
612,bc_1,*,control,1,,,,,,,,
613,bc_8,GPP_A_11_ESPI_ALERT1B,bidir,X,612,1,Z,FALSE,TRUE,,gpp_a_11_espi_alert1b,TRUE
614,bc_1,*,control,1,,,,,,,,
615,bc_8,GPP_A_10_ESPI_ALERT0B,bidir,X,614,1,Z,FALSE,TRUE,,gpp_a_10_espi_alert0b,TRUE
616,bc_1,*,control,1,,,,,,,,
617,bc_8,GPP_A_9_ESPI_CS3B,bidir,X,616,1,Z,FALSE,TRUE,,gpp_a_9_espi_cs3b,TRUE
618,bc_1,*,control,1,,,,,,,,
619,bc_8,GPP_A_8_ESPI_CS2B,bidir,X,618,1,Z,FALSE,TRUE,,gpp_a_8_espi_cs2b,TRUE
620,bc_1,*,control,1,,,,,,,,
621,bc_8,GPP_A_7_ESPI_CS1B,bidir,X,620,1,Z,FALSE,TRUE,,gpp_a_7_espi_cs1b,TRUE
622,bc_1,*,control,1,,,,,,,,
623,bc_8,GPP_A_6_ESPI_RESETB,bidir,X,622,1,Z,FALSE,TRUE,,gpp_a_6_espi_resetb,TRUE
624,bc_1,*,control,1,,,,,,,,
625,bc_8,GPP_A_5_ESPI_CLK,bidir,X,624,1,Z,FALSE,TRUE,,gpp_a_5_espi_clk,TRUE
626,bc_1,*,control,1,,,,,,,,
627,bc_8,GPP_A_4_ESPI_CS0B,bidir,X,626,1,Z,FALSE,TRUE,,gpp_a_4_espi_cs0b,TRUE
628,bc_1,*,control,1,,,,,,,,
629,bc_8,GPP_A_3_ESPI_IO_3_SUSACKB,bidir,X,628,1,Z,FALSE,TRUE,,gpp_a_3_espi_io_3_susackb,TRUE
630,bc_1,*,control,1,,,,,,,,
631,bc_8,GPP_A_2_ESPI_IO_2_SUSWARNB_SUSPWRDNACK,bidir,X,630,1,Z,FALSE,TRUE,,gpp_a_2_espi_io_2_suswarnb_suspwrdnack,TRUE
632,bc_1,*,control,1,,,,,,,,
633,bc_8,GPP_A_1_ESPI_IO_1,bidir,X,632,1,Z,FALSE,TRUE,,gpp_a_1_espi_io_1,TRUE
634,bc_1,*,control,1,,,,,,,,
635,bc_8,GPP_A_0_ESPI_IO_0,bidir,X,634,1,Z,FALSE,TRUE,,gpp_a_0_espi_io_0,TRUE
636,bc_1,*,control,1,,,,,,,,
637,bc_8,GPP_B_21_SML1ALERTB_PCHHOTB,bidir,X,636,1,Z,FALSE,TRUE,,gpp_b_21_sml1alertb_pchhotb,TRUE
638,bc_1,*,control,1,,,,,,,,
639,bc_8,GPP_B_20_FUSA_DIAGTEST_MODE,bidir,X,638,1,Z,FALSE,TRUE,,gpp_b_20_fusa_diagtest_mode,TRUE
640,bc_1,*,control,1,,,,,,,,
641,bc_8,GPP_B_19_FUSA_DIAGTEST_EN,bidir,X,640,1,Z,FALSE,TRUE,,gpp_b_19_fusa_diagtest_en,TRUE
